LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,HUR,TOT,PC_LF,M,2019-10,5.297781,
AUS,HUR,TOT,PC_LF,M,2019-11,5.139451,
AUS,HUR,TOT,PC_LF,M,2019-12,5.050057,
AUS,HUR,TOT,PC_LF,M,2020-01,5.263393,
AUS,HUR,TOT,PC_LF,M,2020-02,5.076525,
AUS,HUR,TOT,PC_LF,M,2020-03,5.218752,
AUS,HUR,TOT,PC_LF,M,2020-04,6.352233,
AUS,HUR,TOT,PC_LF,M,2020-05,7.060637,
AUS,HUR,TOT,PC_LF,M,2020-06,7.433705,
AUS,HUR,TOT,PC_LF,M,2020-07,7.478235,
AUS,HUR,TOT,PC_LF,M,2020-08,6.804698,
AUS,HUR,TOT,PC_LF,M,2020-09,6.909572,
AUS,HUR,TOT,PC_LF,M,2020-10,6.980306,
AUS,HUR,TOT,PC_LF,M,2020-11,6.817515,
AUS,HUR,TOT,PC_LF,M,2020-12,6.589865,
AUS,HUR,TOT,PC_LF,M,2021-01,6.344082,
AUS,HUR,TOT,PC_LF,M,2021-02,5.829643,
AUT,HUR,TOT,PC_LF,M,2019-10,4.4,
AUT,HUR,TOT,PC_LF,M,2019-11,4.3,
AUT,HUR,TOT,PC_LF,M,2019-12,4.3,
AUT,HUR,TOT,PC_LF,M,2020-01,4.4,
AUT,HUR,TOT,PC_LF,M,2020-02,4.5,
AUT,HUR,TOT,PC_LF,M,2020-03,4.8,
AUT,HUR,TOT,PC_LF,M,2020-04,4.9,
AUT,HUR,TOT,PC_LF,M,2020-05,5.8,
AUT,HUR,TOT,PC_LF,M,2020-06,6,
AUT,HUR,TOT,PC_LF,M,2020-07,5.8,
AUT,HUR,TOT,PC_LF,M,2020-08,5.6,
AUT,HUR,TOT,PC_LF,M,2020-09,5.5,
AUT,HUR,TOT,PC_LF,M,2020-10,5.4,
AUT,HUR,TOT,PC_LF,M,2020-11,5.5,
AUT,HUR,TOT,PC_LF,M,2020-12,5.8,
AUT,HUR,TOT,PC_LF,M,2021-01,5.7,E
AUT,HUR,TOT,PC_LF,M,2021-02,5.7,E
BEL,HUR,TOT,PC_LF,M,2019-10,5.2,
BEL,HUR,TOT,PC_LF,M,2019-11,5.2,
BEL,HUR,TOT,PC_LF,M,2019-12,5.2,
BEL,HUR,TOT,PC_LF,M,2020-01,5.1,
